Field [mT]	Moment [Am^2]	Fitted Moment [Am^2]
-19.35	-1.5179e+01	-1.6371e+01
-19.31	-1.5062e+01	-1.6321e+01
-19.28	-1.4983e+01	-1.6274e+01
-19.25	-1.4892e+01	-1.6220e+01
-19.21	-1.4804e+01	-1.6170e+01
-19.18	-1.4697e+01	-1.6114e+01
-19.14	-1.4617e+01	-1.6063e+01
-19.11	-1.4512e+01	-1.6005e+01
-19.07	-1.4414e+01	-1.5951e+01
-19.03	-1.4313e+01	-1.5891e+01
-18.99	-1.4219e+01	-1.5836e+01
-18.95	-1.4110e+01	-1.5774e+01
-18.91	-1.4021e+01	-1.5716e+01
-18.87	-1.3892e+01	-1.5652e+01
-18.83	-1.3788e+01	-1.5592e+01
-18.79	-1.3680e+01	-1.5527e+01
-18.74	-1.3589e+01	-1.5465e+01
-18.70	-1.3465e+01	-1.5398e+01
-18.65	-1.3353e+01	-1.5334e+01
-18.61	-1.3238e+01	-1.5265e+01
-18.56	-1.3142e+01	-1.5202e+01
-18.52	-1.3038e+01	-1.5135e+01
-18.47	-1.2914e+01	-1.5065e+01
-18.42	-1.2794e+01	-1.4996e+01
-18.37	-1.2674e+01	-1.4924e+01
-18.32	-1.2561e+01	-1.4854e+01
-18.27	-1.2456e+01	-1.4781e+01
-18.22	-1.2336e+01	-1.4710e+01
-18.17	-1.2214e+01	-1.4636e+01
-18.11	-1.2092e+01	-1.4563e+01
-18.06	-1.1970e+01	-1.4488e+01
-18.01	-1.1852e+01	-1.4414e+01
-17.95	-1.1727e+01	-1.4337e+01
-17.90	-1.1605e+01	-1.4262e+01
-17.84	-1.1479e+01	-1.4185e+01
-17.78	-1.1357e+01	-1.4108e+01
-17.72	-1.1234e+01	-1.4031e+01
-17.66	-1.1105e+01	-1.3953e+01
-17.61	-1.0989e+01	-1.3875e+01
-17.55	-1.0863e+01	-1.3797e+01
-17.49	-1.0723e+01	-1.3718e+01
-17.42	-1.0593e+01	-1.3639e+01
-17.36	-1.0472e+01	-1.3560e+01
-17.30	-1.0345e+01	-1.3482e+01
-17.24	-1.0204e+01	-1.3402e+01
-17.17	-1.0074e+01	-1.3322e+01
-17.11	-9.9553e+00	-1.3241e+01
-17.04	-9.8224e+00	-1.3161e+01
-16.98	-9.6953e+00	-1.3080e+01
-16.91	-9.5565e+00	-1.3000e+01
-16.84	-9.4136e+00	-1.2919e+01
-16.77	-9.2880e+00	-1.2839e+01
-16.71	-9.1562e+00	-1.2758e+01
-16.64	-9.0170e+00	-1.2676e+01
-16.57	-8.8856e+00	-1.2595e+01
-16.49	-8.7468e+00	-1.2513e+01
-16.42	-8.6121e+00	-1.2432e+01
-16.35	-8.4729e+00	-1.2350e+01
-16.28	-8.3284e+00	-1.2269e+01
-16.21	-8.1923e+00	-1.2187e+01
-16.13	-8.0600e+00	-1.2106e+01
-16.06	-7.9384e+00	-1.2023e+01
-15.98	-7.7937e+00	-1.1942e+01
-15.91	-7.6460e+00	-1.1859e+01
-15.83	-7.5239e+00	-1.1777e+01
-15.75	-7.3798e+00	-1.1695e+01
-15.67	-7.2386e+00	-1.1613e+01
-15.60	-7.1014e+00	-1.1530e+01
-15.52	-6.9607e+00	-1.1447e+01
-15.44	-6.8165e+00	-1.1364e+01
-15.36	-6.6815e+00	-1.1281e+01
-15.28	-6.5367e+00	-1.1197e+01
-15.20	-6.4108e+00	-1.1115e+01
-15.11	-6.2740e+00	-1.1031e+01
-15.03	-6.1418e+00	-1.0948e+01
-14.95	-6.0005e+00	-1.0863e+01
-14.86	-5.8636e+00	-1.0780e+01
-14.78	-5.7247e+00	-1.0695e+01
-14.69	-5.5800e+00	-1.0611e+01
-14.61	-5.4392e+00	-1.0526e+01
-14.52	-5.3036e+00	-1.0442e+01
-14.44	-5.1659e+00	-1.0356e+01
-14.35	-5.0347e+00	-1.0272e+01
-14.26	-4.8890e+00	-1.0186e+01
-14.17	-4.7571e+00	-1.0101e+01
-14.08	-4.6186e+00	-1.0015e+01
-13.99	-4.4681e+00	-9.9294e+00
-13.90	-4.3283e+00	-9.8435e+00
-13.81	-4.1971e+00	-9.7577e+00
-13.72	-4.0607e+00	-9.6721e+00
-13.63	-3.9184e+00	-9.5849e+00
-13.54	-3.7713e+00	-9.4987e+00
-13.45	-3.6435e+00	-9.4120e+00
-13.35	-3.5143e+00	-9.3260e+00
-13.26	-3.3790e+00	-9.2393e+00
-13.16	-3.2417e+00	-9.1532e+00
-13.07	-3.0999e+00	-9.0666e+00
-12.97	-2.9590e+00	-8.9809e+00
-12.88	-2.8240e+00	-8.8948e+00
